Time (s),CPU (%),MEM (KB),Bandwidth (KB/s),Bandwidth Utilization (%),Open Sockets,exp_dir,experiment,categories,rps
125,1195.0,4097348,153655.0,12.0,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
131,1086.0,4264636,173554.0,13.56,41,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
136,1157.0,4418404,160733.0,12.56,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
141,1147.0,4506880,161168.0,12.59,47,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
146,1170.0,4594784,155903.0,12.18,42,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
151,1169.0,4680688,156933.0,12.26,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
157,1193.0,4766740,159171.0,12.44,42,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
162,591.6,4854608,80008.9,6.25,50,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
167,1170.0,5377656,165398.0,12.92,48,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
172,1176.0,5577024,157669.0,12.32,41,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
177,1177.0,5753200,155383.0,12.14,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
183,1187.0,5918820,153623.0,12.0,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
188,1190.0,6086556,163444.0,12.77,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
193,1155.0,6718264,168989.0,13.2,47,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
198,1125.0,6479632,173445.0,13.55,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
204,1183.0,6656900,160516.0,12.54,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
209,1189.0,6826216,157260.0,12.29,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
214,1176.0,6993404,164462.0,12.85,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
219,1222.0,7165856,151943.0,11.87,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
224,1200.0,7331004,159756.0,12.48,42,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
230,1216.0,7500004,145273.0,11.35,42,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
235,1168.0,7663212,162808.0,12.72,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
240,1196.0,7833728,154859.0,12.1,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
245,1206.0,8000176,155090.0,12.12,40,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
250,1178.0,8166516,154162.0,12.04,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
256,1157.0,8334356,163697.0,12.79,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
261,1213.0,8505732,153798.0,12.02,37,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
266,1176.0,8671188,160578.0,12.55,47,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
271,1163.0,8796688,160805.0,12.56,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
277,1187.0,8883748,148480.0,11.6,47,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
282,1183.0,8966296,152719.0,11.93,42,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
287,1134.0,9050356,165063.0,12.9,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
292,1213.0,9141216,155117.0,12.12,38,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
297,1180.0,9226420,157996.0,12.34,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
303,1207.0,9313664,148866.0,11.63,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
308,1220.0,9395592,149863.0,11.71,41,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
313,1220.0,9477328,152817.0,11.94,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
318,1140.0,9562264,159606.0,12.47,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
323,537.5,9649560,83882.5,6.55,42,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
329,430.2,11704072,40039.3,3.13,50,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
334,1148.0,10643756,169682.0,13.26,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
339,1127.0,10857992,170650.0,13.33,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
344,1197.0,11075336,160824.0,12.56,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
350,1111.0,11260920,171710.0,13.41,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
355,1130.0,11436404,176016.0,13.75,40,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
360,1181.0,11613992,157019.0,12.27,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
365,1111.0,11781804,176149.0,13.76,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
370,1125.0,11959848,172162.0,13.45,42,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
376,1160.0,12136900,162542.0,12.7,41,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
381,1185.0,12309076,162385.0,12.69,42,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
386,1189.0,13390504,173137.0,13.53,38,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
391,1137.0,18609824,171049.0,13.36,49,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
396,1184.0,12926484,154228.0,12.05,41,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
402,1203.0,13093896,150965.0,11.79,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
