Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1730525826,32,GET,/,14528.000000,0.000000,1,1,1,1,2,2,2,2,4,86,89,398538,0,1,0.9267714769224282,0.2529379999032244,115.8428160015319,612.0
1730525826,32,,Aggregated,14528.000000,0.000000,1,1,1,1,2,2,2,2,4,86,89,398538,0,1,0.9267714769224282,0.2529379999032244,115.8428160015319,612.0
1730525827,33,GET,/,14528.000000,0.000000,1,1,1,1,2,2,2,2,4,86,89,398538,0,1,0.9267714769224282,0.2529379999032244,115.8428160015319,612.0
1730525827,33,,Aggregated,14528.000000,0.000000,1,1,1,1,2,2,2,2,4,86,89,398538,0,1,0.9267714769224282,0.2529379999032244,115.8428160015319,612.0
1730525828,34,GET,/,14528.000000,0.000000,1,1,1,1,2,2,2,2,4,86,89,398538,0,1,0.9267714769224282,0.2529379999032244,115.8428160015319,612.0
1730525828,34,,Aggregated,14528.000000,0.000000,1,1,1,1,2,2,2,2,4,86,89,398538,0,1,0.9267714769224282,0.2529379999032244,115.8428160015319,612.0
1730525829,35,GET,/,14675.300000,0.000000,1,1,1,2,2,2,2,3,5,86,89,443288,0,1,0.9762514565125576,0.2506609998818021,115.8428160015319,612.0
1730525829,35,,Aggregated,14675.300000,0.000000,1,1,1,2,2,2,2,3,5,86,89,443288,0,1,0.9762514565125576,0.2506609998818021,115.8428160015319,612.0
1730525830,36,GET,/,14675.300000,0.000000,1,1,1,2,2,2,2,3,5,86,89,443288,0,1,0.9762514565125576,0.2506609998818021,115.8428160015319,612.0
1730525830,36,,Aggregated,14675.300000,0.000000,1,1,1,2,2,2,2,3,5,86,89,443288,0,1,0.9762514565125576,0.2506609998818021,115.8428160015319,612.0
1730525831,37,GET,/,14675.300000,0.000000,1,1,1,2,2,2,2,3,5,86,89,443288,0,1,0.9762514565125576,0.2506609998818021,115.8428160015319,612.0
1730525831,37,,Aggregated,14675.300000,0.000000,1,1,1,2,2,2,2,3,5,86,89,443288,0,1,0.9762514565125576,0.2506609998818021,115.8428160015319,612.0
1730525832,38,GET,/,14805.700000,0.000000,1,1,2,2,2,2,2,3,5,86,89,488389,0,1,1.0238228990637637,0.24818100064294413,115.8428160015319,612.0
1730525832,38,,Aggregated,14805.700000,0.000000,1,1,2,2,2,2,2,3,5,86,89,488389,0,1,1.0238228990637637,0.24818100064294413,115.8428160015319,612.0
1730525833,39,GET,/,14805.700000,0.000000,1,1,2,2,2,2,2,3,5,86,89,488389,0,1,1.0238228990637637,0.24818100064294413,115.8428160015319,612.0
1730525833,39,,Aggregated,14805.700000,0.000000,1,1,2,2,2,2,2,3,5,86,89,488389,0,1,1.0238228990637637,0.24818100064294413,115.8428160015319,612.0
